lon,lat,time,EPV,H,O3,OMEGA,PHIS,PS,QI,QL,QV,RH,SLP,T,U,V
-120.0,15.5,2022-08-31,3.264239e-08,5845.4956,6.0122595e-08,0.008746743,0.0,101356.93,1.2579449e-10,7.5961e-08,0.0026683826,0.66772515,101358.71,265.13684,4.9193883,2.0863159
-120.0,16.0,2022-01-31,3.6856648e-07,5823.164,6.146027e-08,-0.041598707,0.0,101187.93,5.569018e-08,3.343448e-06,0.0030250554,0.7644044,101184.336,264.80658,6.1529493,11.029068
-120.0,16.0,2022-02-28,4.0491418e-07,5840.383,5.844462e-08,0.010440797,0.0,101374.29,7.967174e-09,1.9883737e-07,0.0031442675,0.8127448,101377.88,264.5796,6.442831,11.22668
-120.0,16.0,2022-03-31,4.9097395e-07,5848.665,5.805886e-08,0.001322329,0.0,101473.23,4.5674824e-09,1.6216654e-07,0.0031366348,0.83032227,101469.5,264.32825,7.1811323,10.317844
-120.0,16.0,2022-04-30,5.3102576e-07,5838.454,5.705226e-08,0.009611994,0.0,101387.33,2.3928806e-09,2.3527537e-07,0.0033655167,0.9038086,101385.61,264.122,8.173614,8.416484
-120.0,16.0,2022-05-31,3.4189e-07,5835.124,5.755394e-08,0.03628093,0.0,101343.52,1.7535058e-08,7.771887e-07,0.0034227371,0.91577154,101340.86,264.1602,7.769284,6.1985664
-120.0,16.0,2022-06-30,3.2380575e-07,5847.85,5.919021e-08,0.011351407,0.0,101493.25,8.326606e-08,1.8756837e-06,0.003350259,0.89233416,101495.69,264.23337,6.380158,4.5087805
-120.0,16.0,2022-07-31,2.891444e-07,5861.3687,6.0388416e-08,0.021008283,0.0,101664.805,3.506102e-10,1.3632234e-07,0.0030107682,0.7702768,101661.05,264.8076,6.1967206,3.6305678
-120.0,16.0,2022-08-31,1.2228219e-07,5845.1206,6.071922e-08,0.012897134,0.0,101396.93,1.9554136e-10,9.586802e-08,0.0026807804,0.6650396,101395.71,265.28137,6.1156774,1.6527221
-120.0,16.5,2022-01-31,2.4087706e-07,5820.414,6.121289e-08,-0.01889363,0.0,101211.93,6.068149e-08,4.7534704e-06,0.0027761464,0.7041017,101210.836,264.76752,6.9341993,10.361099
-120.0,16.5,2022-02-28,3.3887758e-07,5838.383,5.8502827e-08,-0.007991821,0.0,101406.29,1.4642865e-08,4.2724423e-07,0.0031728777,0.8237311,101408.38,264.50146,7.251913,10.644649
-120.0,16.5,2022-03-31,3.6344096e-07,5847.165,5.7811476e-08,0.028177798,0.0,101489.23,4.0527084e-08,1.0742806e-06,0.0032644272,0.8737793,101489.5,264.1798,8.085429,9.517063
-120.0,16.5,2022-04-30,3.4755521e-07,5837.204,5.7299644e-08,0.053679377,0.0,101419.33,3.0297088e-08,6.745104e-07,0.0033311844,0.89575195,101419.11,264.1103,8.684356,7.3852344
-120.0,16.5,2022-05-31,8.669306e-08,5834.124,5.7743115e-08,0.0475114,0.0,101367.52,3.365858e-08,9.534415e-07,0.003396988,0.9006348,101366.86,264.26566,8.242916,5.128254
-120.0,16.5,2022-06-30,6.1987706e-08,5846.35,5.903014e-08,0.023680508,0.0,101533.25,4.3291948e-08,5.206093e-07,0.0034093868,0.89526385,101530.69,264.374,6.1448064,4.6249914
-120.0,16.5,2022-07-31,2.0043592e-07,5860.6187,6.034476e-08,0.033825666,0.0,101696.805,5.5442797e-09,1.246226e-07,0.0031948274,0.807142,101695.55,264.8818,5.878361,4.086378
-120.0,16.5,2022-08-31,1.611649e-07,5844.6206,6.131585e-08,0.030353189,0.0,101428.93,4.5693014e-09,9.758514e-08,0.0029144306,0.7102056,101425.21,265.39465,6.634232,1.7274292
-120.0,17.0,2022-01-31,9.0875915e-08,5818.039,6.0805434e-08,0.021023363,0.0,101243.93,1.9404979e-08,2.4437904e-06,0.0022811894,0.58496106,101241.836,264.7519,8.518184,9.845474
-120.0,17.0,2022-02-28,2.0697902e-07,5835.633,5.822634e-08,-0.028255492,0.0,101438.29,7.3177944e-09,4.223548e-07,0.0026989016,0.70556706,101438.88,264.44678,8.170858,10.472774
-120.0,17.0,2022-03-31,2.0069234e-07,5845.04,5.782603e-08,0.08298737,0.0,101513.23,6.7957444e-08,2.015382e-06,0.0031328201,0.8457031,101509.5,264.1173,9.383281,9.142063
-120.0,17.0,2022-04-30,1.4406123e-07,5835.954,5.7925376e-08,0.072478205,0.0,101451.33,9.3103154e-08,1.6461127e-06,0.0032024384,0.8581543,101450.61,264.1806,10.066192,7.2660937
-120.0,17.0,2022-05-31,-4.2295113e-08,5833.249,5.876175e-08,0.07851726,0.0,101391.52,6.513437e-08,1.2302771e-06,0.0032482147,0.86108404,101391.86,264.2891,10.129635,5.050129
-120.0,17.0,2022-06-30,-7.794351e-08,5844.35,5.9597664e-08,0.0008533597,0.0,101573.25,4.869071e-08,8.188654e-07,0.0033340466,0.87304705,101572.69,264.39743,7.833283,5.2480383
-120.0,17.0,2022-07-31,2.9072567e-08,5859.7437,6.051938e-08,0.04005125,0.0,101736.805,3.3396645e-08,4.0698797e-07,0.0032882874,0.83253264,101734.05,264.8115,6.682072,4.7851086
-120.0,17.0,2022-08-31,1.1296896e-07,5844.3706,6.1635994e-08,0.05391276,0.0,101460.93,2.2155291e-08,2.2002496e-07,0.003132822,0.75781304,101463.71,265.39856,7.3070836,2.2718627
-120.0,17.5,2022-01-31,2.405352e-08,5815.539,6.1111024e-08,0.028957933,0.0,101283.93,9.791279e-11,4.3259934e-07,0.0021734242,0.57299817,101281.336,264.54095,10.783809,9.497818
-120.0,17.5,2022-02-28,1.0232165e-07,5832.633,5.7484193e-08,-0.049007446,0.0,101478.29,1.6660806e-10,1.9726576e-07,0.0021247896,0.56176823,101478.88,264.37646,9.598593,10.640742
